gene	symbol	gene.name	phenotype.summary
YGR227W	DIE2	Derepression of ITR1 Expression	Non-essential gene; in large-scale studies null mutant displays inositol auxotrophy, decreased competitive fitness and increased chronological lifespan; null mutant diploid shows abnormal unipolar budding pattern

YGR036C	CAX4	CAlmodulin-dependent in cmd one two twenty-siX	Non-essential gene; null mutation inteferes with protein N-linked glycosylation that leads to cell wall defects and sensitivity to cell-wall affecting chemical Calcofluor White; null mutant also displays sensitivity to hygromycin B, thymol, tacrolimus, and resistance to vanadate
YDR332W	IRC3	Increased Recombination Centers	NA
YDR109C	NA	NA	NA
YJL121C	RPE1	Ribulose 5-Phosphate Epimerase	NA
YGL196W	DSD1	NA	Non-essential gene; in systematic studies mutations cause slow growth and decreased competitive fitness
YDL219W	DTD1	D-Tyr-tRNA(Tyr) Deacylase	Non-essential gene; null mutant is sensitive to D-tyrosine, a non-proteinogenic enantiomer of L-tyrosine; in competitive growth experiment mutant shows increased fitness
YDR452W	PPN1	NA	NA
YDL028C	MPS1	MonoPolar Spindle	Essential gene; conditional mutant has abnormal spindle morphology with monopolar spindles, contains a single SPB with enlarged half-bridge, and becomes polyploid due to chromosome missegregation, resulting in decreased viability; overexpression results in decreased vegetative growth, with an accumulation of cells with medium to large buds in G2 phase; overexpression also results in increased invasive growth

YPR001W	CIT3	CITrate synthase	Non-essential gene; null mutant is resistant to anti-cancer agent 3-bromopyruvate and shows increased competitive fitness
YIR026C	YVH1	Yeast vaccinia virus VH1 Homolog	Non-essential gene; null mutants grow slowly, have small cell size, decreased competitive fitness, increased replicative lifespan, and exhibit defects in rRNA processing, glycogen accumulation, endocytosis, and protein localization; null mutatns are also sensitive to cold, acetolactate synthase inhibitor sulfometuron methyl, antioxidant spermine, antimicrobial hygromycin B, and radical scavenger dimethyl sulfoxide; homozygous diploid null mutants are resistant to zymocin and to zinc deficiency, but sensitive to TOR inhibitor rapamycin, reducing agent 1,4-dithiothreitol, antimicrobial doxorubicin, and carcinogen benzo[a]pyrene; homozygous diploid nulls are also impaired in cell cycle progression, meiosis, sporulation, and fermentative growth, but have increased lifespan; overexpression slows growth

YNL053W	MSG5	Multicopy Suppressor of GPA1	NA
YNL307C	MCK1	Meiosis and Centromere regulatory Kinase	Non-essential gene; null mutant has a decreased growth rate, is thermosensitive and has reduced innate thermotolerance; null displays elevated rates of mitotic chromosome loss at semi-permissive temperatures and in the presence of benomyl; homozygous null mutant has delayed and reduced sporulation, with defects in ascus maturation; null mutant has a reduced critical cell size at START, delayed mitotic exit and elevated Clb2p-Cdc28p activity; null mutant is sensitive to DNA damaging agents, ionic, oxidative, and hyperosmotic stress; heterozygous null is haploinsufficient; overexpression increases filamentous growth and results in bud elongation

YJL119C	NA	NA	NA
YJL152W	NA	NA	NA
YJR018W	NA	NA	NA
YKL165C-A	NA	NA	NA
YKL202W	NA	NA	NA
YKL162C-A	NA	NA	NA
YLR402W	NA	NA	NA
YLL059C	NA	NA	NA
YLR280C	NA	NA	NA
YLR311C	NA	NA	NA
YMR046W-A	NA	NA	NA
YMR194C-A	NA	NA	NA
YNL057W	NA	NA	NA
YNL170W	NA	NA	NA
YNL198C	NA	NA	NA
YNL203C	NA	NA	NA
YNL205C	NA	NA	NA
YNL285W	NA	NA	NA
YNL303W	NA	NA	NA
YOL106W	NA	NA	NA
YOR248W	NA	NA	NA
YPR146C	NA	NA	NA
YPR130C	NA	NA	NA
YBL053W	NA	NA	NA
YDL158C	NA	NA	NA
YDL172C	NA	NA	NA
YDL187C	NA	NA	NA
YDR433W	NA	NA	NA
YDR445C	NA	NA	NA
YER097W	NA	NA	NA
YGR137W	NA	NA	NA
YGR011W	NA	NA	NA
YGR069W	NA	NA	NA
YGR160W	NA	NA	NA
YGR107W	NA	NA	NA
YGL177W	NA	NA	NA
YHR145C	NA	NA	NA
YIL141W	NA	NA	NA
YIL028W	NA	NA	NA
YIL100C-A	NA	NA	NA
YIR017W-A	NA	NA	NA
YMR153C-A	NA	NA	NA
YMR316C-B	NA	NA	NA
YIL047C-A	NA	NA	NA
YOR277C	NA	NA	NA
YDL228C	NA	NA	NA
YPL250W-A	NA	NA	NA
YFR036W-A	NA	NA	NA
YEL034C-A	NA	NA	NA
YHR069C-A	NA	NA	NA
YPR002C-A	NA	NA	NA
YBR099C	NA	NA	NA
YFR009W-A	NA	NA	NA
YNL114C	NA	NA	NA
YPL142C	NA	NA	NA
YCR045W-A	NA	NA	NA
YHR218W-A	NA	NA	NA
YEL045C	NA	NA	NA
YML009W-B	NA	NA	NA
YLR154W-A	NA	NA	NA
YLR154W-F	NA	NA	NA
YPR077C	NA	NA	NA
YBR012C	NA	NA	NA
YGR073C	NA	NA	NA
YNL150W	NA	NA	NA
YBL068W-A	NA	NA	NA
YAL037C-B	NA	NA	NA
YER158W-A	NA	NA	NA
YDR118W-A	NA	NA	NA
YPL114W	NA	NA	NA
YPR044C	OPI11	OverProducer of Inositol	NA
YEL074W	NA	NA	NA
YLR317W	NA	NA	NA
YKL031W	NA	NA	NA
YDR241W	BUD26	BUD site selection	Non-essential gene in systematic studies in S288C, but shown as essential in a systematic study in Sigma1278b; null mutation causes abnormally elongated buds and abnormal randon budding pattern in diploids
YMR151W	YIM2	NA	NA
YKL076C	PSY1	Platinum SensitivitY	NA
YPR087W	VPS69	Vacuolar Protein Sorting	NA
YJL188C	BUD19	BUD site selection	Non-essential gene, largely overlaps another gene, RPL39; in systematic studies null mutant diploid shows abnormal random budding pattern, reduced competitive fitness, and increased sensitivity to doxorubicin and DTT, which are phenotypes shared with rpl39 null mutants; in another large-scale study null mutant shows decreased cell size
YLR062C	BUD28	BUD site selection	Non-essential gene, largely overlaps another gene, RPL22A; in systematic studies null mutant diploid shows abnormal random budding pattern, reduced competitive fitness, increased sensitivity to doxorubicin, Congo Red, and multiple other chemicals, which are phenotypes shared with rpl22a null mutants
YNL179C	NA	NA	NA
YKL083W	NA	NA	NA
YKL030W	NA	NA	NA
YJR087W	NA	NA	NA
YKL066W	NA	NA	NA
YDR154C	NA	NA	NA
YDR220C	NA	NA	NA
YOR146W	NA	NA	NA
YOR331C	NA	NA	NA
YMR119W-A	NA	NA	NA
YOR203W	NA	NA	NA
YGR151C	NA	NA	NA
YFR052C-A	NA	NA	NA
YER147C-A	NA	NA	NA
YER088C-A	NA	NA	NA
YDR413C	NA	NA	NA
YLR463C	NA	NA	NA
YHL019W-A	NA	NA	NA
YMR173W-A	NA	NA	NA
YGL123C-A	NA	NA	NA
YLR198C	NA	NA	NA
YLR349W	NA	NA	NA
YDL086C-A	NA	NA	NA
YBL083C	NA	NA	NA
YOR300W	NA	NA	NA
YPR123C	NA	NA	NA
YMR304C-A	NA	NA	NA
YPL238C	NA	NA	NA
YCL041C	NA	NA	NA
YHR052W-A	NA	NA	NA
YHR054W-A	NA	NA	NA
YAL016C-A	NA	NA	NA
YIL030W-A	NA	NA	NA
YBR126W-B	NA	NA	NA
YHR032W-A	NA	NA	NA
YLR123C	NA	NA	NA
YLR076C	NA	NA	NA
YLR339C	NA	NA	NA
YPL197C	NA	NA	NA
YOR013W	IRC11	Increased Recombination Centers	NA
YGR269W	NA	NA	NA
YAL026C-A	NA	NA	NA
YIL059C	NA	NA	NA
YKR040C	NA	NA	NA
YLR041W	NA	NA	NA
YOR366W	NA	NA	NA
YOR379C	NA	NA	NA
YLR294C	NA	NA	NA
YCR064C	NA	NA	NA
YDR230W	NA	NA	NA
YBR113W	NA	NA	NA
YFL032W	NA	NA	NA
YGL072C	NA	NA	NA
YLR222C-A	NA	NA	NA
YLL020C	NA	NA	NA
YBR206W	NA	NA	NA
YPR099C	NA	NA	NA
YKR047W	NA	NA	NA
YOR309C	NA	NA	NA
YKL115C	NA	NA	NA
YKR012C	NA	NA	NA
YEL053W-A	NA	NA	NA
YML012C-A	NA	NA	NA
YKL123W	NA	NA	NA
YLR252W	NA	NA	NA
YBR116C	NA	NA	NA
YOR053W	NA	NA	NA
YNL043C	NA	NA	NA
YDL071C	NA	NA	NA
YHR071C-A	NA	NA	NA
YDR417C	NA	NA	NA
YPR142C	NA	NA	NA
YGR228W	NA	NA	NA
YGR064W	NA	NA	NA
YGR182C	NA	NA	NA
YLR434C	NA	NA	NA
YGL199C	NA	NA	NA
YLR202C	NA	NA	NA
YBR190W	NA	NA	NA
YPR169W-A	NA	NA	NA
YCR087W	NA	NA	NA
YKR035C	OPI8	OverProducer of Inositol	NA
YBR076C-A	NA	NA	NA
YDL096C	OPI6	OverProducer of Inositol	NA
YEL020C-B	NA	NA	NA
YJL142C	IRC9	Increased Recombination Centers	NA
YMR057C	NA	NA	NA
YKL053W	NA	NA	NA
YDR094W	NA	NA	NA
YAL042C-A	NA	NA	NA
YDR133C	NA	NA	NA
YFR034W-A	NA	NA	NA
YGR122C-A	NA	NA	NA
YMR294W-A	NA	NA	NA
YCR013C	NA	NA	NA
YKL153W	NA	NA	NA
YLL044W	NA	NA	NA
YOR318C	NA	NA	NA
YDR183C-A	NA	NA	NA
YEL059W	HHY1	Hypersensitivity to HYgromycin B	NA
YGL102C	NA	NA	NA
YLR140W	NA	NA	NA
YKR001C	VPS1	Vacuolar Protein Sorting	Non-essential gene; null mutant is defective in vacuolar protein sorting, resulting in decreased processing, missorting, and secretion of hydrolases; null mutant displays decreased endocytosis, a fragmented vacuolar morphology, fewer but enlarged peroxisomes and an altered endocytic vesicle distribution; null mutant is temperature sensitive and exhibits decreased ionic, oxidative and hyperosmotic stress resistance; null mutant has a respiratory growth defect, a reduced rate of nitrogen utilization and increased starvation induced mitophagy

YOR165W	SEY1	Synthetic Enhancement of YOP1	NA
YLL001W	DNM1	DyNaMin-related	Non-essential gene; null mutant exhibits reduced autophagy and apoptosis, and increased chronological lifespan; null mutant has aberrant mitochondrial and peroxisomal morphology; in large-scale studies, null mutant shows reduced competitive fitness in several media, reduced desiccation resistance and innate thermotolerance, lower spore viability, and altered resistance to a variety of chemicals

YDR488C	PAC11	Perish in the Absence of CIN8	NA
YMR299C	DYN3	DYNein	Non-essential gene; null mutation causes defects innuclear migration; in systematic studies mutants exhibit reduced competitive fitness and increased resistance to MMS and bleomycin, and increased sensitivity to camptothecin
YER178W	PDA1	Pyruvate Dehydrogenase Alpha	NA
YBR221C	PDB1	Pyruvate Dehydrogenase Beta subunit	NA
YHR111W	UBA4	UBiquitin-Activating	NA
YNR007C	ATG3	AuTophaGy related	Non-essential gene; null mutant is unable to undergo autophagy, late nucleophagy, the CVT pathway and displays decreased mitophagy and micronucleophagy; nitrogen starved null mutant has reduced viability, abnormal nuclear morphology, and is defective in degradation of total cellular protein; null mutant has decreased competitive fitness on various media; null mutant displays decreased chronological lifespan, reduced desiccation resistance and decreased resistance to zinc treatment; null mutant has increased biofilm formation; homozygous diploid null mutant displays greatly reduced sporulation and increased glycogen accumulation; overexpression results in decreased filamentous growth

YDR092W	UBC13	UBiquitin-Conjugating	NA
YGR193C	PDX1	Pyruvate Dehydrogenase complex protein X	NA
YCR066W	RAD18	RADiation sensitive	Non-essential gene; null mutant displays temperature sensitivity, decreased growth rate and competitive fitness on rich and synthetic media; null mutant is sensitive to a variety of DNA damaging agents, DNA synthesis inhibitors, X-rays and UV radiation; null displays increased chromosome instability including gross chromosomal rearrangements, an increased mutation rate, and elevated Ty element transposition

YDL074C	BRE1	BREfeldin A sensitivity	Non-essential gene; null mutant shows accelerated progression through the S phase and G1/S phase transition, increased chromosome instability, and abnormal pattern of histone acetylation; null mutation confers increased sensitivity to brefeldin A, echinocandin B, phleomycin and hydroxyurea

YLR247C	IRC20	Increased Recombination Centers	NA
YGR184C	UBR1	NA	Non-essential gene; null mutant accumulates short-lived substrates of N-end rule based degradation, mis- and unfolded cytosolic quality control pathway substrates, as well as substrates of stress-induced ER-associated protein degradation; null mutant displays chromosomal instability, impaired filamentous and invasive growth, a strong vacuolar fragmentation defect, decreased competitive fitness in various media, and both decreased uptake and increased resistance to specific dipeptides; homozygous diploid null mutant has decreased resistance to gamma rays, and sporulation defects

YDR457W	TOM1	Temperature dependent Organization in Mitotic nucleus or Trigger Of Mitosis	NA
